state,lat_min,lat_max,lng_min,lng_max,pop_sum,male_pop_sum,female_pop_sum,rent_mean_mean,rent_mean_median,rent_median_mean,rent_median_median,rent_stdev_mean,rent_gt_10_mean,rent_gt_10_median,rent_gt_20_mean,rent_gt_20_median,rent_gt_30_mean,rent_gt_30_median,rent_gt_40_mean,rent_gt_40_median,rent_gt_50_mean,rent_gt_50_median,hi_mean_mean,hi_mean_median,hi_median_mean,hi_median_median,hi_stdev_mean,family_mean_mean,family_mean_median,family_median_mean,family_median_median,family_stdev_mean,hc_mortgage_mean_mean,hc_mortgage_mean_median,hc_mortgage_median_mean,hc_mortgage_median_median,hc_mortgage_stdev_mean,hc_mean_mean,hc_mean_median,hc_median_mean,hc_median_median,hc_stdev_mean,home_equity_second_mortgage_mean,home_equity_second_mortgage_median,second_mortgage_mean,second_mortgage_median,home_equity_mean,home_equity_median,debt_mean,debt_median,second_mortgage_cdf_mean,second_mortgage_cdf_median,home_equity_cdf_mean,home_equity_cdf_median,debt_cdf_mean,debt_cdf_median,hs_degree_mean,hs_degree_median,hs_degree_male_mean,hs_degree_male_median,hs_degree_female_mean,hs_degree_female_median,male_age_mean_mean,male_age_mean_median,male_age_median_mean,male_age_median_median,male_age_stdev_mean,female_age_mean_mean,female_age_mean_median,female_age_median_mean,female_age_median_median,female_age_stdev_mean,married_mean,married_median,separated_mean,separated_median,divorced_mean,divorced_median,physically_active,obesity_percentage,totalScore,n_restaurants
Louisiana,29.168849199999997,33.0031412,-93.9794686,-89.48055440000002,2454659,1197975,1256684,835.3016365829139,796.9080299999999,798.1323283082077,767.0,318.7418738860968,0.9439226298157447,0.96715,0.7304905025125633,0.7489,0.5218704187604682,0.52381,0.37735956448911245,0.37451999999999996,0.2854463316582912,0.27397,59312.03900448331,56531.055495,45125.46166666667,42004.5,51694.72131699995,68870.90466055008,65868.448625,57205.666666666664,53620.5,49565.50283834998,1298.5479693311045,1212.16455,1207.3210702341137,1117.0,537.7677758695656,385.1105115268457,343.419735,353.8808724832215,316.0,187.97824750000015,0.02098297658862876,0.011095,0.024280886287625446,0.014164999999999999,0.058238394648829385,0.046085,0.513064147157191,0.51058,0.5526143478260872,0.5015350000000001,0.6559828762541808,0.6932050000000001,0.7048934280936451,0.7633300000000001,0.8225165282392023,0.828375,0.8019772333333332,0.814465,0.8413206146179394,0.848905,37.50171486710964,37.617185000000006,36.47674420265779,36.25,21.600709817275764,39.763524202657806,39.66715,39.17331107973427,38.91667,22.312330830564736,0.45968058333333317,0.47605,0.024499666666666656,0.0185,0.1115810999999999,0.10618,0.17800000000000002,0.368,37.15,3309
Maine,43.1211585,47.255269399999996,-70.9332071,-67.1081422,710622,347816,362806,846.1759177894733,796.604065,803.5894736842105,772.5,360.4719799473685,0.9564321052631578,0.971835,0.7501853684210527,0.75439,0.495902578947368,0.503645,0.3324388947368423,0.32945,0.2470319473684211,0.243295,61978.043037473675,58003.39253,49213.14736842105,46725.0,51100.26027526315,72455.80658626318,68444.077015,62070.563157894736,59421.5,48965.630361789474,1416.2052472631572,1384.88147,1311.3,1278.0,609.5676183684213,532.548953210526,513.93418,497.9894736842105,481.5,225.35072163157892,0.01682894736842105,0.01347,0.020603684210526316,0.015215,0.11694747368421053,0.11323,0.6205566315789472,0.627545,0.5038280526315788,0.49165500000000006,0.3944834210526318,0.38288,0.5373737368421052,0.539555,0.9118655789473684,0.915815,0.8982094736842111,0.9007000000000001,0.9252132105263156,0.9319999999999999,42.13611126315789,42.03304,43.87456136842108,44.5,22.22791673684211,43.97369699999998,43.86332,45.80175421052632,46.416664999999995,22.632311,0.5346394210526318,0.55608,0.008621473684210524,0.00567,0.13364542105263155,0.13416,0.201,0.304,49.81,703
Maryland,38.001284399999996,39.7091742,-79.4357541,-75.0713877,3292145,1602210,1689935,1408.5751815119352,1320.34769,1373.818302387268,1272.5,493.06508342175044,0.9652263262599469,0.986915,0.7597115119363386,0.7802549999999999,0.5063605968169761,0.510835,0.3421238726790449,0.33333,0.2535158222811669,0.238425,92755.50133574658,88741.12126,80326.56671070014,74364.0,63889.18816849411,100754.87148533679,96856.68707,92616.03170409512,85697.0,57443.90583475565,2002.085761880921,1955.63878,1930.3288227334235,1860.0,735.0551985791614,619.9457822818785,598.41098,593.3060402684564,564.0,221.82591135570473,0.03751731283422454,0.03183,0.0448090909090909,0.037724999999999995,0.14883292780748655,0.146155,0.7343995721925124,0.74666,0.33514554812834224,0.284045,0.30187803475935804,0.256255,0.30215411764705863,0.26114,0.8864158923884521,0.9110199999999999,0.8785272047244104,0.904075,0.8920814960629907,0.914995,38.023090314960655,38.184070000000006,38.24803133858272,37.91667,21.274017664042,40.15053458005249,40.188509999999994,40.614501456692906,40.875,21.789578740157474,0.5078778740157478,0.5356000000000001,0.023252690288713906,0.018279999999999998,0.08639681102362208,0.083035,0.21600000000000003,0.309,61.78,3549
Massachusetts,41.259744700000006,42.85732470000001,-73.3598875,-69.941451,3555026,1724503,1830523,1216.010929869961,1160.4838300000001,1171.9934980494147,1126.0,531.172372639792,0.9585277373211967,0.9722200000000001,0.7428356566970091,0.75646,0.4870171521456434,0.48713999999999996,0.3240640442132639,0.31401999999999997,0.24134495448634583,0.23134000000000002,87218.96382924775,85497.47903,72963.11284046693,69438.0,65758.82637182876,98194.7291388312,96557.982085,89263.96103896105,85691.5,59543.946544000035,2143.2419342408384,2087.6904750000003,2092.6217277486912,2022.5,758.9130713350777,758.9962916402125,719.05896,737.292328042328,691.5,261.9235098809528,0.030940837696335075,0.023739999999999997,0.036399227748691115,0.028915,0.1451255104712042,0.14458,0.7103361256544504,0.70965,0.4125706544502621,0.35786,0.30450797120418854,0.26137,0.3542207591623033,0.34531500000000004,0.8849961240310081,0.92022,0.882072674418605,0.9131100000000001,0.8881145090439266,0.928675,38.68437175710598,38.86936,38.50322979328166,39.08333,21.268196162790673,40.9644187338501,41.167925,40.883505555555544,41.91667,22.03733636950905,0.4897563049095608,0.506435,0.018020180878552977,0.012150000000000001,0.08166122739018082,0.07528499999999999,0.21600000000000003,0.257,56.85,2837
Michigan,41.7549085,47.365372,-90.14145490000001,-82.43206009999999,5224877,2557263,2667614,918.5081765469616,839.808835,868.3798342541437,781.0,339.7155278453044,0.9636884185082887,0.981995,0.752530766574586,0.7723,0.5203802624309389,0.52595,0.3758042610497237,0.36364,0.28681964779005537,0.2667,63297.92857811584,58470.57432000001,51564.316770186335,47024.0,49227.894241242204,72193.77824173577,68520.70247,62915.82019363762,58621.5,46695.123915200544,1345.6703035544683,1251.8039549999999,1262.6263966480446,1173.5,527.9579949371513,506.9538995827524,471.87343999999996,479.3539638386648,446.0,200.4017327051464,0.02330984722222223,0.018064999999999998,0.026982874999999993,0.021965,0.10588263888888867,0.102945,0.5964946874999998,0.621325,0.46173256250000067,0.42452500000000004,0.4482131041666672,0.428285,0.5593375555555551,0.5537000000000001,0.8840099655884376,0.90254,0.8761586639118472,0.897935,0.8916370847691263,0.9129700000000001,38.823423716448744,39.00067,39.029536572608386,39.75,21.73072194081212,40.83597507914657,41.13998,41.437485602202365,42.0,22.38993174122505,0.4862544528561589,0.52884,0.014056269786648295,0.008159999999999999,0.10811614590502402,0.10532000000000001,0.191,0.33,49.52,6414
Minnesota,43.5507804,48.7842748,-97.0201498,-90.5638899,2879177,1426107,1453070,960.9842521356421,925.17708,904.3405483405484,852.0,399.19454646464703,0.956088569364162,0.9716799999999999,0.7163426589595381,0.7400100000000001,0.45854380057803457,0.45726999999999995,0.3010387283236995,0.292495,0.21861154624277476,0.207185,75821.6622743146,70578.49156000001,62958.82395382395,58888.0,56705.527946897506,86788.29675802302,81933.14816,76963.5772005772,72202.0,53319.41535219339,1564.3199133910543,1502.10442,1470.018759018759,1416.0,622.3636794372298,527.0430234343432,500.7739,496.3492063492063,474.0,211.69065746031742,0.0372712554112554,0.032619999999999996,0.04225040404040404,0.037469999999999996,0.13491764790764788,0.13377999999999998,0.6704750505050506,0.68104,0.3157046320346319,0.28601,0.336385757575758,0.3005,0.43260953823953874,0.41373000000000004,0.9167264367816094,0.929675,0.9124631178160927,0.9250550000000001,0.9215226984126988,0.93958,38.459460747126485,38.53083,38.35177208333335,38.16667,21.738975416666676,40.241599119769106,40.46171,40.24927848484848,40.66667,22.564836392496375,0.5272612500000002,0.5566450000000001,0.009475287356321834,0.005915,0.09216558908045981,0.08897,0.20800000000000002,0.301,67.26,2803
Mississippi,30.259962800000004,34.991147999999995,-91.40514990000001,-88.3138155,1558044,755465,802579,738.5889817765043,699.66647,713.9541547277937,687.0,280.0584552149,0.9534747564469914,0.9746,0.7433541260744984,0.7640399999999999,0.5275004871060173,0.5387,0.37031332378223497,0.37037,0.27118859598853856,0.26461999999999997,50920.375238657114,48443.78120499999,38337.82,35492.0,45166.647263657134,59313.52045845275,56240.616010000005,48623.68194842407,45965.0,44063.51060266478,1122.346233717578,1063.60348,1024.7636887608069,974.0,485.3846373775214,378.4082426074499,365.71982,345.72779369627506,334.0,180.96248002865326,0.01427865329512895,0.00797,0.016181747851002872,0.00976,0.045983209169054455,0.0356,0.5045198280802289,0.49668999999999996,0.6153510028653293,0.53913,0.695392636103152,0.74007,0.7168168767908308,0.78405,0.8075381196581196,0.8081699999999999,0.7880097150997157,0.79487,0.827205171428571,0.8296599999999998,37.27257356125356,37.49627,36.184710341880354,36.0,21.939111623931616,39.77451034285718,39.799335,39.22023814285714,39.791664999999995,22.762523285714295,0.4764030199430198,0.49791,0.028063846153846148,0.02314,0.1124095726495726,0.1099,0.166,0.395,41.63,2237
Missouri,36.044892299999994,40.491059299999996,-95.5562913,-89.27563620000001,3092144,1518324,1573820,834.9196770498608,776.062865,794.409972299169,746.0,318.06820160664824,0.9523914819944603,0.9703200000000001,0.7064693490304704,0.72565,0.46128846260387835,0.467065,0.31115418282548496,0.305315,0.22721580332409966,0.21969,62061.40346953232,56568.12806,50296.716643741405,45132.0,48970.47345268224,71800.91580647873,66267.26376,62405.510316368636,56533.0,46604.966204305434,1286.4512124585628,1194.847125,1202.2900552486187,1107.0,504.05571294198904,449.58475957123056,417.08197,426.4246196403873,393.0,173.5704888934992,0.02210465469613259,0.017475,0.02518023480662984,0.020605,0.07907081491712703,0.07298,0.6167241850828731,0.624815,0.4780456215469616,0.43811,0.5521490331491713,0.5677050000000001,0.5361691850828734,0.54603,0.8745902200825313,0.8861399999999999,0.8681916391184578,0.88031,0.8808537826685012,0.89099,38.569218595041356,38.59397,38.09148327823689,37.75,21.989953994490342,40.71631158184317,40.77875,40.63594690508942,41.08333,22.6546176341128,0.5143182920110191,0.54541,0.018020413223140512,0.012875000000000001,0.11492428374655658,0.113565,0.18899999999999997,0.35,42.76,4207
Montana,45.0226823,48.8074125,-115.8348347,-104.3277411,564861,282401,282460,756.5043172955973,731.62657,694.0817610062893,674.0,343.1866176729559,0.9218646540880503,0.94909,0.6673007547169809,0.67724,0.4230318238993712,0.42295,0.2839440880503145,0.27536,0.19810534591194962,0.19055,60598.420765723284,58975.22552000001,47192.45911949685,45606.0,51045.489750251596,71673.66430842764,72177.29905,60999.201257861634,60527.0,48789.517911823896,1338.336384649682,1292.9823800000001,1227.8535031847134,1187.0,580.9881287898086,422.81849364779885,419.87570999999997,385.748427672956,377.0,203.6827344654087,0.018186918238993717,0.0127,0.020885911949685542,0.01468,0.062099811320754705,0.05559,0.5220991194968556,0.54319,0.5264689937106918,0.49673,0.623055220125786,0.64888,0.679878050314465,0.71033,0.9234216981132081,0.93056,0.9181455974842764,0.9239799999999999,0.9288325157232706,0.93755,40.63019641509432,41.08313,41.56865798742139,43.08333,22.450064528301883,41.82490207547171,42.66303,42.867924276729546,43.66667,22.915581823899377,0.5477732704402513,0.5775899999999999,0.011677358490566038,0.0078,0.11520955974842766,0.11001,0.21100000000000002,0.26899999999999996,51.08,649
Nebraska,40.0543975,42.8726863,-103.9381379,-95.585887,970077,482309,487768,834.5603652573535,775.60315,780.1801470588235,718.0,338.0999919852941,0.9369028676470584,0.957155,0.6636463235294121,0.6857249999999999,0.4026293382352938,0.40173000000000003,0.2668765808823528,0.26239999999999997,0.19318926470588227,0.17506,68401.36250338236,62690.591125,56627.65073529412,51842.0,51665.42928209554,78310.41097242647,74978.580275,69415.28676470589,65026.5,48431.88226018386,1351.4399563568768,1251.63826,1249.7026022304833,1156.0,530.1517723048327,526.1566699628255,486.55084000000005,500.81412639405204,457.0,207.2012690706319,0.026227249070631974,0.02062,0.02930985130111524,0.023969999999999998,0.08242289962825276,0.07603,0.6173985873605943,0.6323300000000001,0.4195940148698883,0.40503,0.5362252044609668,0.5533,0.5259862453531602,0.5283800000000001,0.9045129197080293,0.93087,0.8987926642335771,0.926825,0.9108719852941176,0.9359550000000001,37.676378759124084,37.992335,37.2785890510949,37.208335000000005,22.005351021897795,39.52109216911764,39.630265,39.386948676470574,39.58333,22.808600257352946,0.5522481386861309,0.5868800000000001,0.010704014598540146,0.006525,0.09655635036496348,0.09059,0.191,0.341,59.11,1351
Nevada,35.136330900000004,41.033337700000004,-119.9652218,-114.05678449999999,1459071,739535,719536,1140.9691963247851,1103.7952400000001,1089.002849002849,1045.0,370.3166828490027,0.9638563532763531,0.9801799999999999,0.747081396011396,0.7630100000000001,0.48781957264957276,0.49163,0.3274725356125356,0.32461,0.23629549857549836,0.23519,67913.2667983475,63991.71012999999,55995.17378917379,52582.0,51408.75393216523,73821.16743792027,71054.63905,64054.74074074074,61267.0,47190.63873535614,1542.2282331395345,1446.017075,1453.2848837209303,1355.5,595.450596831395,460.7081631686046,427.08450000000005,429.8168604651163,398.0,190.89821142441852,0.03188649275362319,0.02486,0.03575431884057971,0.02943,0.09827252173913047,0.09385,0.6806112463768117,0.70685,0.4164963768115942,0.35305,0.4908828695652178,0.46941000000000005,0.4003731594202897,0.35186999999999996,0.8429587749287748,0.87603,0.8424842165242161,0.87855,0.8444239031339029,0.87636,38.3662792022792,37.79428,38.30579310541312,37.75,21.124126581196585,39.20413541310538,39.036570000000005,39.1816237037037,38.33333,21.563805071225094,0.4806979202279209,0.47322,0.021629487179487185,0.01594,0.13072578347578348,0.12814,0.195,0.295,51.8,2202
